长丰园三区4居室 05卧
天通西苑三区4居室 05卧
绣江南 2室2厅 3400元
车站东街15号院 2室1厅 5000元
观景园 2室1厅 6400元
金港国际 1室1厅 8700元
管庄西里 2室1厅 4500元
甘露园南里 3室1厅 6500元
万科城市花园 3室1厅 6000元
美华世纪 2室2厅 18000元
群芳三园 2室1厅 3200元
炫特嘉园二期 1室1厅 5400元
冠军楼 2室1厅 4000元
建新北区 2室1厅 2500元
锋尚国际 2室1厅 14000元
望京新城 2室1厅 7300元
保利茉莉公馆 2室2厅 5500元
海棠湾三期 1室0厅 3100元
新城阳光 2室1厅 4200元
金汉绿港一区 2室1厅 4300元
百合湾 1室1厅 3600元
新龙城 2室2厅 5500元
世华泊郡 2室1厅 7000元
云景里南大门 2室1厅 3600元
兴隆家园 2室1厅 7500元
育慧里二区 2室1厅 6000元
万泉新新商务花园 1室0厅 6200元
霞光里30号院 2室1厅 5800元
卡布其诺 2室1厅 8700元
东亚上北中心 1室1厅 4100元
