深蓝中心 4室1厅 16666元
亿达知音园 3室2厅 3700元
北昌平小区 2室1厅 2400元
南昌平小区 3室1厅 3600元
新日街 2室1厅 1700元
实验小学 3室0厅 2500元
新船巷 2室1厅 1550元
黑石礁广场 3室1厅 3200元
软景E居 1室1厅 2600元
纪念街 石道街商圈 2室0厅 1200元
八十中 2室0厅 1400元
79中学区城市公元 1室1厅 2600元
东城天下 2室2厅 2300元
碧海尚城 3室2厅 2500元
北昌平小区 1室1厅 1700元
星海街 2室1厅 1600元
软件园小区 2室1厅 2200元
大庆街 2室0厅 1300元
北京公园 2室2厅 5500元
远洋广场 1室1厅 2700元
星月街 1室1厅 1900元
里程巷 2室1厅 1400元
辽师 2室1厅 1800元
凯旋国际 2室1厅 1600元
东庭印象 2室2厅 1650元
于家巷 1室1厅 1350元
高家沟 2室1厅 1500元
星台花园 3室2厅 3100元
绿波花园 2室2厅 2500元
吉祥街 2室1厅 2200元
