林肯公园 1室1厅 5300元
新风南里 2室1厅 7200元
香河园北里 3室1厅 5200元
融泽嘉园 3室1厅 6600元
安华里四区 3室1厅 4500元
主场 1室0厅 6200元
新城阳光 2室1厅 3400元
北礼士路 2室1厅 6800元
宝盛北里 2室1厅 6500元
碧波园 2室2厅 3000元
清芷园 2室1厅 7200元
彩虹新城 2室2厅 4500元
富河园 3室1厅 4000元
万科星园 3室1厅 11000元
旭辉奥都 2室1厅 7000元
万科城市花园 2室2厅 4600元
定福庄西街 2室1厅 3900元
畅清园 2室1厅 6200元
光熙门北里 2室1厅 5800元
禧福汇 2室1厅 9800元
天恒乐活城 3室1厅 2600元
西木樨园 2室1厅 4500元
融泽嘉园 2室1厅 5000元
马家堡39号院 2室1厅 3600元
石园东区 2室1厅 2850元
龙腾苑二区 2室1厅 5700元
新华街二里 2室1厅 3300元
金隅七零九零 2室1厅 3200元
玉海园三里 2室1厅 3000元
梵谷水郡 1室0厅 5200元
