保利嘉园三号院 3室1厅 6000元
弘善家园 1室1厅 4600元
安贞西里 1室1厅 4700元
紫御国际 2室1厅 13000元
绿景苑 1室1厅 5300元
永乐西区 2室1厅 3800元
北无宿舍 2室1厅 6600元
文慧园56号公寓 1室0厅 5800元
三环新城6号院 2室1厅 5700元
海晟国际公寓 1室1厅 15000元
桥东街小区 2室1厅 2300元
天鸿美域 1室1厅 4500元
西坝河东里 1室1厅 4300元
慧时欣园 2室2厅 6500元
安贞里 2室1厅 6500元
炫特嘉园一期 1室1厅 5600元
沿海赛洛城 1室1厅 5700元
菊园 2室1厅 5500元
朗琴园 1室0厅 5000元
远洋山水 2室1厅 7200元
曙光里 2室1厅 5600元
苹果派 1室1厅 4600元
通典铭居 2室1厅 5000元
远洋天地三期 2室1厅 9500元
中堂 2室1厅 7500元
团结湖中路南二条 2室1厅 5800元
炫特嘉园一期 1室0厅 4400元
大方居 2室1厅 3200元
京师园 2室1厅 9000元
枣营北里3居室 03卧
